,Init,Daily,fix_per,cores,RE,grids,num_init,num_daily,days_init,days_daily,WithinAverage,Mean,Std,WithinAverageBelowFirst,Mean,Std,AboveAverage,Mean,Std,AboveAfterWithin,Mean,Std,WithinAfterAbove,Mean,Std,Lags,Mean,Std
0,g,g,N_A,no_RE,16,10,80000,16000,5,50,1600,5.658125,1.6662072153171705,1356,19.263274336283185,11.928962890813406,3,25.333333333333332,12.283683848458853,2,34.0,1.0,1,41.0,0.0,0,,
1,g,g,N_A,no_RE,16,20,50000,10000,5,50,6400,5.6553125,1.7603097816417854,5614,18.610260064125402,11.736715455028401,32,29.125,11.986320327773658,30,30.6,10.883014288330232,14,37.285714285714285,9.035079029052513,1,8.0,0.0
2,g,g,N_A,RE,16,20,50000,10000,5,50,6400,5.2946875,1.112023730566821,4758,12.766288356452291,12.06708612724848,22,21.272727272727273,14.126640912512585,16,26.8125,12.69457930575094,5,30.8,11.822013364905319,3,15.333333333333334,3.2998316455372216
3,f,g,30,no_RE,16,20,50000,10000,5,50,6400,5.0653125,0.9272522727627848,6085,11.10912078882498,10.774933201868114,58,15.568965517241379,13.274440138808526,26,28.576923076923077,9.295048627849283,39,33.205128205128204,7.42200293368751,26,26.5,7.776938294134089
4,f,g,30,RE,16,20,50000,10000,5,50,6400,5.066875,0.9569954202476624,5405,9.98982423681776,9.866551202120041,49,12.26530612244898,12.7403833444458,17,25.941176470588236,13.47097353674491,14,36.42857142857143,7.916657715712806,13,31.384615384615383,8.213857535975515
5,f,g,30,RE,16,10,80000,16000,5,50,1600,5.179375,1.3719328006046798,1279,5.499609069585614,3.291155466364379,27,5.0,0.0,0,,,0,,,0,,
6,f,g,10,no_RE,16,20,50000,10000,5,50,6400,5.05515625,0.790325273596851,5846,15.116489907629148,11.928539580042559,58,17.362068965517242,15.62568428941546,26,32.57692307692308,11.184374666756765,35,28.485714285714284,9.268599612428526,28,21.678571428571427,8.900455732427298
7,f,g,10,RE,16,20,50000,10000,5,50,6400,5.05640625,0.7740556084422731,4966,12.123439387837294,11.234720967900893,50,11.96,11.78636500368116,17,25.235294117647058,11.859617153649685,13,30.46153846153846,7.5510099641895545,12,25.25,7.8222439235810075
8,f,g,10,RE,16,10,80000,16000,5,50,1600,5.14875,1.140887127414452,973,6.0102774922918805,4.102476782424997,27,5.0,0.0,0,,,0,,,0,,
9,f,g,15,no_RE,16,20,50000,10000,5,50,6400,5.0609375,0.870545301000327,5864,13.678206002728514,11.557317381164543,62,17.43548387096774,14.565337739837904,30,30.7,9.87640285394097,38,31.289473684210527,9.472697317017673,24,21.875,7.04930552134984
10,f,g,15,RE,16,20,50000,10000,5,50,6400,5.0565625,0.8065672219931517,5033,11.631631233856547,10.968707583737217,47,11.382978723404255,11.067593467857412,15,25.0,10.557777543908882,18,34.833333333333336,7.477744758058185,15,28.4,7.391887445030531
11,f,g,15,RE,16,10,80000,16000,5,50,1600,5.15375,1.1763761887678619,1068,5.989700374531835,4.187649790950504,27,5.0,0.0,0,,,0,,,0,,
12,f,g,25,no_RE,16,20,50000,10000,5,50,6400,5.06265625,0.8898625985712276,6009,11.719420868696954,10.899417170447876,70,18.414285714285715,13.930944852729693,38,29.710526315789473,8.852320227330358,39,33.92307692307692,9.661938583908048,23,24.695652173913043,9.081442054655223
13,f,g,25,RE,16,20,50000,10000,5,50,6400,5.0596875,0.8484544197207945,5296,10.470543806646525,10.140175070459156,48,11.75,11.314629173478615,16,25.25,10.520812706250407,14,36.857142857142854,7.049388452271616,11,32.0,7.273863547599096
14,f,g,25,RE,16,10,80000,16000,5,50,1600,5.173125,1.3231223429354524,1224,5.633169934640523,3.404424900884545,27,5.0,0.0,0,,,0,,,0,,
15,f,g,20,no_RE,16,20,50000,10000,5,50,6400,5.0625,0.8890830951041641,5948,12.516139878950908,11.108693368454324,51,13.509803921568627,13.175099134976376,19,27.842105263157894,11.770897018515566,38,31.657894736842106,9.854938157806107,28,24.035714285714285,9.15923477331229
16,f,g,20,RE,16,20,50000,10000,5,50,6400,5.06015625,0.8627571938766652,5176,11.064335394126738,10.545602527720884,47,12.680851063829786,13.370508007629079,15,29.066666666666666,12.876162299208392,10,35.8,10.127191120937729,9,29.77777777777778,10.173798348675197
17,f,g,20,RE,16,10,80000,16000,5,50,1600,5.170625,1.3068137240536617,1146,5.843804537521815,3.9471907756512152,27,5.0,0.0,0,,,0,,,0,,
18,f,g,05,no_RE,16,20,50000,10000,5,50,6400,5.0615625,0.7466324789303971,5795,16.433822260569457,12.075770068617448,75,19.14666666666667,14.919958296039423,45,29.57777777777778,11.174353352185808,46,31.41304347826087,10.351593212717928,26,21.46153846153846,9.069097017347381
19,f,g,05,RE,16,20,50000,10000,5,50,6400,5.118125,0.9769769620492594,4867,12.609821245120198,11.513653560712388,43,9.906976744186046,9.913143620533278,11,24.181818181818183,10.503836371173948,19,33.421052631578945,8.725738029251431,14,25.5,8.08658501116863
20,f,g,05,RE,16,10,80000,16000,5,50,1600,5.151875,0.9874507503541632,923,6.528710725893824,5.078579617093221,27,5.0,0.0,0,,,0,,,0,,
